Posterior Heading,Desired Heading,Heading Error,Absolute Heading Error,Average Heading Error
114.5042725,114.4878769,-0.016395569,0.016395569,2.141052112
114.5702209,114.4706421,-0.099578857,0.099578857,
114.5702209,114.3647995,-0.205421448,0.205421448,
114.5537567,114.4737167,-0.080039978,0.080039978,
114.5537567,114.4335938,-0.120162964,0.120162964,
114.5031509,114.3777313,-0.125419617,0.125419617,
114.5031509,114.597374,0.094223022,0.094223022,
114.479805,114.7658997,0.286094666,0.286094666,
114.479805,114.7851563,0.305351257,0.305351257,
114.5542297,114.7542648,0.200035095,0.200035095,
114.5542297,115.1072311,0.553001404,0.553001404,
114.7052994,115.0460587,0.340759277,0.340759277,
114.7052994,114.9637222,0.258422852,0.258422852,
114.8567276,114.795845,-0.060882568,0.060882568,
114.8567276,114.8260345,-0.030693054,0.030693054,
114.8383865,114.8957596,0.057373047,0.057373047,
114.8383865,115.0258179,0.187431335,0.187431335,
114.8383865,115.1262512,0.287864685,0.287864685,
114.8437958,114.8933182,0.0495224,0.0495224,
114.8437958,114.8663635,0.022567749,0.022567749,
114.9209518,114.808815,-0.112136841,0.112136841,
114.9209518,115.1123428,0.191390991,0.191390991,
114.8832855,115.2135162,0.330230713,0.330230713,
114.8832855,115.2737732,0.390487671,0.390487671,
114.9581909,115.3884888,0.430297852,0.430297852,
115.1331482,115.5461807,0.413032532,0.413032532,
115.3071213,115.3114929,0.004371643,0.004371643,
115.3071213,115.0071106,-0.300010681,0.300010681,
115.3638992,114.8750229,-0.488876343,0.488876343,
115.3638992,114.3649216,-0.998977661,0.998977661,
115.2111588,113.8679657,-1.343193054,1.343193054,
114.8334351,114.3279724,-0.505462646,0.505462646,
114.8334351,114.3803482,-0.453086853,0.453086853,
114.5457993,114.9036331,0.357833862,0.357833862,
114.5942383,115.2837906,0.689552307,0.689552307,
114.8821793,115.2458344,0.36365509,0.36365509,
114.8821793,115.2165527,0.334373474,0.334373474,
115.0144272,114.962059,-0.052368164,0.052368164,
115.043808,114.6292877,-0.414520264,0.414520264,
115.043808,114.8138046,-0.230003357,0.230003357,
114.9803848,114.7283325,-0.252052307,0.252052307,
114.9803848,114.6883011,-0.29208374,0.29208374,
114.9170074,114.5677719,-0.349235535,0.349235535,
114.8528366,114.6963654,-0.156471252,0.156471252,
114.8528366,114.8078079,-0.045028687,0.045028687,
114.7851105,114.6053391,-0.179771423,0.179771423,
114.7851105,114.6502457,-0.134864807,0.134864807,
114.8051605,114.5252457,-0.279914856,0.279914856,
114.7446289,114.6722031,-0.072425842,0.072425842,
114.7446289,114.3030624,-0.441566467,0.441566467,
114.6535797,114.4436188,-0.209960938,0.209960938,
114.6535797,114.3291702,-0.324409485,0.324409485,
114.5376892,114.3676682,-0.170021057,0.170021057,
114.4655991,114.3534622,-0.112136841,0.112136841,
114.4655991,114.4518661,-0.01373291,0.01373291,
114.4356003,114.553894,0.118293762,0.118293762,
114.4356003,114.7353287,0.299728394,0.299728394,
114.4993286,114.7905731,0.291244507,0.291244507,
114.4993286,114.7857666,0.286437988,0.286437988,
114.6149597,114.5923233,-0.022636414,0.022636414,
114.6149597,114.6898117,0.07485199,0.07485199,
114.6615906,114.7397156,0.078125,0.078125,
114.6810532,114.4591751,-0.221878052,0.221878052,
114.6810532,114.248497,-0.432556152,0.432556152,
114.5756073,114.467453,-0.108154297,0.108154297,
114.5756073,114.4942093,-0.08139801,0.08139801,
114.5128479,114.6560898,0.143241882,0.143241882,
114.5564499,115.0060577,0.449607849,0.449607849,
114.5564499,115.06353,0.507080078,0.507080078,
114.7457123,114.9366455,0.190933228,0.190933228,
114.7457123,115.4281845,0.682472229,0.682472229,
114.9000015,115.2586899,0.358688354,0.358688354,
115.0377579,115.1497421,0.111984253,0.111984253,
115.0377579,115.0489044,0.011146545,0.011146545,
115.0118942,114.9401321,-0.071762085,0.071762085,
114.9681931,114.8670578,-0.101135254,0.101135254,
114.9681931,114.9250641,-0.043128967,0.043128967,
114.9809952,114.9863205,0.005325317,0.005325317,
114.9809952,114.9878082,0.006813049,0.006813049,
114.936554,114.9131088,-0.023445129,0.023445129,
114.9273758,115.3595657,0.432189941,0.432189941,
114.9273758,115.2582321,0.330856323,0.330856323,
115.0328293,115.0782013,0.045372009,0.045372009,
115.0328293,115.3582764,0.325447083,0.325447083,
115.1653137,115.2547226,0.089408875,0.089408875,
115.2210617,115.109314,-0.111747742,0.111747742,
115.2210617,114.9509964,-0.270065308,0.270065308,
115.1491852,114.8072357,-0.341949463,0.341949463,
115.0830307,115.1710052,0.087974548,0.087974548,
115.0830307,115.3514862,0.268455505,0.268455505,
115.0947113,115.3976364,0.30292511,0.30292511,
115.0947113,115.4788513,0.384140015,0.384140015,
115.2165604,115.5797501,0.363189697,0.363189697,
115.3375702,115.5330734,0.195503235,0.195503235,
115.3375702,114.8480301,-0.4895401,0.4895401,
115.3277664,114.8429337,-0.484832764,0.484832764,
115.3277664,114.9988098,-0.328956604,0.328956604,
115.1429901,114.7298889,-0.413101196,0.413101196,
115.1429901,114.796608,-0.346382141,0.346382141,
115.049614,114.8854599,-0.164154053,0.164154053,
115.049614,114.9614105,-0.08820343,0.08820343,
115.018074,114.9908142,-0.027259827,0.027259827,
115.018074,114.9133606,-0.10471344,0.10471344,
115.0270386,114.9814453,-0.045593262,0.045593262,
115.0270386,114.9877853,-0.039253235,0.039253235,
115.0321198,115.0402527,0.008132935,0.008132935,
115.030777,114.8664093,-0.164367676,0.164367676,
115.030777,114.7718277,-0.25894928,0.25894928,
114.9983444,114.8414078,-0.156936646,0.156936646,
114.9659119,114.5075073,-0.458404541,0.458404541,
114.9659119,114.4637833,-0.502128601,0.502128601,
114.8608246,114.321022,-0.539802551,0.539802551,
114.8608246,114.1950836,-0.665740967,0.665740967,
114.6538239,114.233017,-0.420806885,0.420806885,
114.4836426,114.2442627,-0.239379883,0.239379883,
114.4836426,114.6169739,0.133331299,0.133331299,
114.4569397,114.7856827,0.328742981,0.328742981,
114.4569397,114.9055405,0.448600769,0.448600769,
114.5755234,114.8865891,0.311065674,0.311065674,
114.7219467,114.7876968,0.065750122,0.065750122,
114.7219467,114.8097076,0.087760925,0.087760925,
114.7658539,114.8248978,0.059043884,0.059043884,
114.7658539,114.9744339,0.208580017,0.208580017,
114.7913589,115.0569611,0.265602112,0.265602112,
114.7913589,115.0571976,0.265838623,0.265838623,
114.870018,114.9742584,0.104240417,0.104240417,
114.9513016,115.0381851,0.086883545,0.086883545,
115.0025101,114.9203339,-0.082176208,0.082176208,
115.0025101,114.9699326,-0.032577515,0.032577515,
115.0341644,115.0549164,0.020751953,0.020751953,
115.0452271,115.2305984,0.185371399,0.185371399,
115.0452271,115.2199936,0.174766541,0.174766541,
115.0965271,115.176178,0.079650879,0.079650879,
115.0965271,115.3978424,0.301315308,0.301315308,
115.173996,115.1836395,0.009643555,0.009643555,
115.2307358,115.4592285,0.228492737,0.228492737,
115.2307358,115.1494141,-0.081321716,0.081321716,
115.2592468,115.1806717,-0.078575134,0.078575134,
115.2592468,115.4008636,0.141616821,0.141616821,
115.2491837,115.5715714,0.322387695,0.322387695,
115.2491837,115.4194565,0.170272827,0.170272827,
115.3476715,115.5551987,0.207527161,0.207527161,
115.4641876,115.3273849,-0.136802673,0.136802673,
115.4641876,115.6042252,0.140037537,0.140037537,
115.4601593,115.3845139,-0.075645447,0.075645447,
115.4601593,115.3200073,-0.140151978,0.140151978,
115.4603882,115.4257889,-0.034599304,0.034599304,
115.4090652,115.2252579,-0.183807373,0.183807373,
115.4090652,115.089653,-0.319412231,0.319412231,
115.3357239,115.1214371,-0.214286804,0.214286804,
115.3357239,114.6126862,-0.72303772,0.72303772,
115.3211594,114.7320099,-0.589149475,0.589149475,
115.0570679,114.6951141,-0.361953735,0.361953735,
115.0570679,114.8995819,-0.157485962,0.157485962,
114.9494705,114.6143265,-0.335144043,0.335144043,
114.9494705,114.5163269,-0.433143616,0.433143616,
114.9250717,114.4027634,-0.52230835,0.52230835,
114.9250717,114.1604538,-0.76461792,0.76461792,
114.7695465,114.6016693,-0.167877197,0.167877197,
114.6220856,114.6974487,0.075363159,0.075363159,
114.6220856,114.6536026,0.031517029,0.031517029,
114.5973129,114.7223587,0.125045776,0.125045776,
114.5973129,115.1007919,0.503479004,0.503479004,
114.6790237,114.9958267,0.316802979,0.316802979,
114.6790237,115.1599503,0.480926514,0.480926514,
114.856781,114.8875275,0.03074646,0.03074646,
114.856781,114.1836929,-0.673088074,0.673088074,
114.905899,114.0118866,-0.894012451,0.894012451,
114.6361771,114.3630905,-0.273086548,0.273086548,
114.501236,114.3205414,-0.18069458,0.18069458,
114.4856873,114.3921127,-0.093574524,0.093574524,
114.4574356,114.5989304,0.141494751,0.141494751,
114.4574356,114.5419998,0.084564209,0.084564209,
114.5004578,114.4349136,-0.065544128,0.065544128,
114.5557251,114.242485,-0.313240051,0.313240051,
114.4464874,114.115921,-0.330566406,0.330566406,
114.4464874,113.9722672,-0.474220276,0.474220276,
114.3477783,114.2550201,-0.092758179,0.092758179,
114.2812805,114.5623016,0.281021118,0.281021118,
114.2812805,115.1564407,0.875160217,0.875160217,
114.4494629,115.1483307,0.698867798,0.698867798,
114.4494629,115.4336853,0.984222412,0.984222412,
114.7499771,115.2101669,0.460189819,0.460189819,
114.7499771,115.4320908,0.682113647,0.682113647,
114.9804993,115.2142792,0.233779907,0.233779907,
115.1529617,115.2116699,0.058708191,0.058708191,
115.1529617,115.1246719,-0.028289795,0.028289795,
115.2587051,115.134758,-0.123947144,0.123947144,
115.1878128,115.2330551,0.04524231,0.04524231,
115.1878128,115.0285873,-0.159225464,0.159225464,
115.1914444,114.9021149,-0.289329529,0.289329529,
115.148941,114.997757,-0.151184082,0.151184082,
115.148941,114.7243729,-0.424568176,0.424568176,
115.1038132,114.7842102,-0.319602966,0.319602966,
115.1038132,114.9744644,-0.129348755,0.129348755,
115.0201797,115.0264282,0.006248474,0.006248474,
115.0201797,114.9220886,-0.098091125,0.098091125,
114.982338,114.6118164,-0.370521545,0.370521545,
114.982338,114.8241272,-0.158210754,0.158210754,
114.9219208,114.7385254,-0.183395386,0.183395386,
114.8830795,114.7571793,-0.125900269,0.125900269,
114.8830795,115.1938553,0.310775757,0.310775757,
114.9975662,115.4270554,0.429489136,0.429489136,
114.9975662,115.8662796,0.868713379,0.868713379,
115.2471085,115.7492905,0.502182007,0.502182007,
115.4816971,116.0460663,0.564369202,0.564369202,
115.4816971,115.7865219,0.304824829,0.304824829,
115.6536636,115.8076172,0.153953552,0.153953552,
115.6536636,115.7707901,0.117126465,0.117126465,
115.7502899,115.3769989,-0.373291016,0.373291016,
115.7502899,115.522438,-0.227851868,0.227851868,
115.6988373,115.5847092,-0.114128113,0.114128113,
115.6211243,115.6870193,0.065895081,0.065895081,
115.6211243,115.8258514,0.204727173,0.204727173,
115.6310806,115.6714096,0.040328979,0.040328979,
115.6310806,115.3245239,-0.306556702,0.306556702,
115.663765,115.1109772,-0.552787781,0.552787781,
115.5397339,114.9104309,-0.629302979,0.629302979,
115.5397339,114.5934753,-0.946258545,0.946258545,
115.3008881,114.8009644,-0.499923706,0.499923706,
115.3008881,114.7116241,-0.589263916,0.589263916,
115.0755768,114.603653,-0.471923828,0.471923828,
115.0755768,114.482048,-0.593528748,0.593528748,
114.939827,114.3385086,-0.601318359,0.601318359,
114.730278,114.209938,-0.520339966,0.520339966,
114.730278,114.2812119,-0.449066162,0.449066162,
114.5871277,114.3625641,-0.224563599,0.224563599,
114.5871277,114.6115036,0.024375916,0.024375916,
114.4901733,114.9093094,0.419136047,0.419136047,
114.612114,114.6503372,0.038223267,0.038223267,
114.612114,114.5264435,-0.085670471,0.085670471,
114.650032,114.5221252,-0.127906799,0.127906799,
114.650032,114.5125351,-0.137496948,0.137496948,
114.668251,114.555481,-0.112770081,0.112770081,
114.668251,114.463356,-0.20489502,0.20489502,
114.6067657,114.5261612,-0.080604553,0.080604553,
114.6067657,114.6206741,0.013908386,0.013908386,
114.5887299,114.5281906,-0.060539246,0.060539246,
114.5887299,114.4477844,-0.140945435,0.140945435,
114.5818634,114.5010071,-0.080856323,0.080856323,
114.5552139,114.6060333,0.050819397,0.050819397,
114.5552139,114.6589279,0.103713989,0.103713989,
114.5600739,114.7186432,0.158569336,0.158569336,
114.5600739,114.831871,0.27179718,0.27179718,
114.6317825,114.8502884,0.218505859,0.218505859,
114.7495193,114.55513,-0.194389343,0.194389343,
114.7495193,114.5682068,-0.181312561,0.181312561,
114.7272415,114.6268158,-0.10042572,0.10042572,
114.7303238,114.5033417,-0.226982117,0.226982117,
114.7303238,114.3166275,-0.413696289,0.413696289,
114.6715851,114.9659729,0.294387817,0.294387817,
114.6847534,114.944191,0.259437561,0.259437561,
114.6847534,115.6182251,0.93347168,0.93347168,
114.8773956,116.2259827,1.348587036,1.348587036,
114.8773956,120.7965469,5.919151306,5.919151306,
115.5370407,122.674263,7.13722229,7.13722229,
117.5493317,125.1208725,7.571540833,7.571540833,
117.5493317,137.6662292,20.11689758,20.11689758,
120.3136292,140.7442017,20.43057251,20.43057251,
120.3136292,144.9700012,24.65637207,24.65637207,
125.5707245,144.2476807,18.67695618,18.67695618,
125.5707245,165.5746613,40.00393677,40.00393677,
132.7147369,165.359314,32.64457703,32.64457703,
132.7147369,169.6281738,36.91343689,36.91343689,
142.1678467,165.3197021,23.15185547,23.15185547,
142.1678467,189.660553,47.4927063,47.4927063,
152.8280029,187.5708313,34.74282837,34.74282837,
152.8280029,191.9899597,39.16195679,39.16195679,
164.1647644,189.6049042,25.44013977,25.44013977,
164.1647644,214.4441681,50.27940369,50.27940369,
176.505661,211.2705383,34.76487732,34.76487732,
188.9459686,206.0614014,17.11543274,17.11543274,
188.9459686,220.1220856,31.17611694,31.17611694,
200.6486206,212.4357758,11.78715515,11.78715515,
211.1824646,211.8677826,0.685317993,0.685317993,
211.1824646,203.2596588,-7.922805786,7.922805786,
215.9720917,196.6564789,-19.31561279,19.31561279,
215.9720917,193.8360901,-22.13600159,22.13600159,
214.1656189,192.7734222,-21.39219666,21.39219666,
206.6634979,196.2207031,-10.4427948,10.4427948,
206.6634979,196.3522797,-10.31121826,10.31121826,
