Posterior Heading,Desired Heading,Heading Error,Absolute Heading Error,Average Heading Error
293.8367615,294.9848938,1.148132324,1.148132324,2.499939036
294.1869202,296.3464661,2.159545898,2.159545898,
294.1869202,296.3515015,2.164581299,2.164581299,
294.8026123,296.684906,1.882293701,1.882293701,
294.8026123,296.9397278,2.137115479,2.137115479,
295.4756165,296.3880615,0.912445068,0.912445068,
295.4756165,295.3936768,-0.081939697,0.081939697,
295.7903748,294.8019104,-0.988464355,0.988464355,
295.6233521,294.3014832,-1.321868896,1.321868896,
295.6233521,294.1935425,-1.42980957,1.42980957,
295.1895447,294.1118164,-1.077728271,1.077728271,
294.8146057,294.0004883,-0.814117432,0.814117432,
294.8146057,294.1981812,-0.616424561,0.616424561,
294.5730591,293.9227905,-0.650268555,0.650268555,
294.3621521,293.874939,-0.487213135,0.487213135,
294.3621521,294.0172119,-0.344940186,0.344940186,
294.1852112,294.280426,0.095214844,0.095214844,
294.192688,294.4412231,0.248535156,0.248535156,
294.192688,294.4180298,0.225341797,0.225341797,
294.348053,294.2695007,-0.078552246,0.078552246,
294.3746948,294.3324585,-0.042236328,0.042236328,
294.3746948,294.2323608,-0.142333984,0.142333984,
294.3644409,294.3841553,0.019714355,0.019714355,
294.3637695,295.0762939,0.712524414,0.712524414,
294.4788208,295.2217407,0.742919922,0.742919922,
294.4788208,295.1746521,0.695831299,0.695831299,
294.7208252,295.0231323,0.302307129,0.302307129,
294.8768921,294.9373474,0.060455322,0.060455322,
294.8768921,294.6645203,-0.212371826,0.212371826,
294.9102783,294.5805664,-0.329711914,0.329711914,
294.8339539,294.3680725,-0.465881348,0.465881348,
294.8339539,294.2388916,-0.595062256,0.595062256,
294.6988831,294.4687195,-0.230163574,0.230163574,
294.6988831,294.3512573,-0.347625732,0.347625732,
294.5844116,294.3698425,-0.214569092,0.214569092,
294.5619812,294.4100952,-0.151885986,0.151885986,
294.5408936,294.3994141,-0.141479492,0.141479492,
294.5408936,294.386261,-0.154632568,0.154632568,
294.5392151,294.3349609,-0.20425415,0.20425415,
294.5309143,293.9823608,-0.548553467,0.548553467,
294.5309143,293.8031616,-0.727752686,0.727752686,
294.4066162,293.7720642,-0.634552002,0.634552002,
294.2259827,293.7794189,-0.446563721,0.446563721,
294.0809326,293.4341736,-0.646759033,0.646759033,
294.0809326,293.4717407,-0.609191895,0.609191895,
293.8796692,293.6424866,-0.237182617,0.237182617,
293.8796692,293.6574707,-0.222198486,0.222198486,
293.8009338,293.530365,-0.270568848,0.270568848,
293.7821655,293.5731506,-0.209014893,0.209014893,
293.7821655,293.552887,-0.229278564,0.229278564,
293.7440491,293.6534119,-0.090637207,0.090637207,
293.7440491,293.776062,0.032012939,0.032012939,
293.7214355,293.8052368,0.08380127,0.08380127,
293.7214355,293.5957031,-0.125732422,0.125732422,
293.745697,293.5411987,-0.204498291,0.204498291,
293.7322693,293.7071228,-0.025146484,0.025146484,
293.7322693,293.7695923,0.037322998,0.037322998,
293.7515869,293.7030029,-0.048583984,0.048583984,
293.7766418,293.7164917,-0.060150146,0.060150146,
293.7766418,293.8547668,0.078125,0.078125,
293.823761,293.8771667,0.053405762,0.053405762,
293.823761,294.1567688,0.333007813,0.333007813,
293.8590393,294.3049011,0.445861816,0.445861816,
293.9597473,294.4326782,0.472930908,0.472930908,
294.1559143,294.4548035,0.29888916,0.29888916,
294.1559143,294.6235046,0.467590332,0.467590332,
294.2738037,294.5647583,0.29095459,0.29095459,
294.4054871,294.4848938,0.079406738,0.079406738,
294.4054871,294.3980713,-0.007415771,0.007415771,
294.4522705,294.392395,-0.059875488,0.059875488,
294.4522705,294.5848999,0.132629395,0.132629395,
294.4216919,294.5486755,0.126983643,0.126983643,
294.4216919,294.5557861,0.134094238,0.134094238,
294.473114,294.5194702,0.046356201,0.046356201,
294.5330811,294.5222473,-0.01083374,0.01083374,
294.5288086,294.4987488,-0.030059814,0.030059814,
294.5288086,294.536438,0.007629395,0.007629395,
294.5548706,294.5873413,0.032470703,0.032470703,
294.5962219,294.744751,0.148529053,0.148529053,
294.5962219,294.9433289,0.347106934,0.347106934,
294.6991577,294.9726257,0.273468018,0.273468018,
294.6991577,294.9464722,0.247314453,0.247314453,
294.8591614,294.7723999,-0.086761475,0.086761475,
294.8591614,294.7814636,-0.077697754,0.077697754,
294.8701782,294.7667236,-0.10345459,0.10345459,
294.8475342,294.7530518,-0.094482422,0.094482422,
294.8475342,294.736084,-0.111450195,0.111450195,
294.8094482,294.7567444,-0.052703857,0.052703857,
294.8094482,294.9354553,0.12600708,0.12600708,
294.8045654,295.053833,0.249267578,0.249267578,
294.8045654,295.0747681,0.270202637,0.270202637,
294.9025574,295.0600891,0.157531738,0.157531738,
294.9960022,295.0742188,0.078216553,0.078216553,
294.9960022,295.1316223,0.135620117,0.135620117,
295.0122986,295.1792908,0.166992188,0.166992188,
295.0901184,295.1622314,0.072113037,0.072113037,
295.0901184,295.0340576,-0.056060791,0.056060791,
295.1195679,295.0465698,-0.072998047,0.072998047,
295.1195679,295.1616211,0.042053223,0.042053223,
295.1240845,295.0811157,-0.04296875,0.04296875,
295.1240845,295.0821533,-0.041931152,0.041931152,
295.1562195,295.033905,-0.122314453,0.122314453,
295.1309204,294.8023071,-0.328613281,0.328613281,
295.1309204,294.5230713,-0.607849121,0.607849121,
295.0649109,294.2961121,-0.768798828,0.768798828,
295.0649109,293.9378662,-1.127044678,1.127044678,
294.8462219,293.5732117,-1.273010254,1.273010254,
294.5253296,290.1984253,-4.326904297,4.326904297,
294.5253296,289.8213806,-4.703948975,4.703948975,
293.3186646,289.6850586,-3.633605957,3.633605957,
293.3186646,288.8652039,-4.453460693,4.453460693,
292.1060486,283.8177795,-8.288269043,8.288269043,
292.1060486,282.7484741,-9.357574463,9.357574463,
290.9949951,282.4937744,-8.501220703,8.501220703,
288.6635437,282.6243896,-6.039154053,6.039154053,
286.3662415,280.2096252,-6.156616211,6.156616211,
286.3662415,272.5315247,-13.8347168,13.8347168,
283.5524292,272.3661499,-11.1862793,11.1862793,
283.5524292,270.5383911,-13.01403809,13.01403809,
279.790863,271.789917,-8.000946045,8.000946045,
276.5574646,260.596405,-15.96105957,15.96105957,
276.5574646,261.4167786,-15.14068604,15.14068604,
272.2582703,262.8115234,-9.446746826,9.446746826,
272.2582703,261.1513367,-11.10693359,11.10693359,
268.3831787,254.6724854,-13.71069336,13.71069336,
268.3831787,252.6965332,-15.68664551,15.68664551,
264.6560059,254.501358,-10.15464783,10.15464783,
264.6560059,253.3205566,-11.33544922,11.33544922,
261.0313416,247.8201904,-13.21115112,13.21115112,
261.0313416,246.3984375,-14.63290405,14.63290405,
257.6447144,247.5924835,-10.05223083,10.05223083,
254.1863556,246.6407318,-7.545623779,7.545623779,
254.1863556,240.8063507,-13.38000488,13.38000488,
250.9858398,239.8561249,-11.12971497,11.12971497,
250.9858398,240.7647095,-10.22113037,10.22113037,
247.5655365,234.973465,-12.59207153,12.59207153,
247.5655365,233.0699921,-14.49554443,14.49554443,
244.1304626,233.7011261,-10.42933655,10.42933655,
240.3894501,225.3787079,-15.01074219,15.01074219,
240.3894501,226.3153992,-14.0740509,14.0740509,
236.5546417,227.5019989,-9.052642822,9.052642822,
236.5546417,216.9616547,-19.59298706,19.59298706,
232.6213226,217.2474518,-15.37387085,15.37387085,
227.7318268,214.0186462,-13.71318054,13.71318054,
227.7318268,203.4506378,-24.28118896,24.28118896,
222.0262451,204.4732819,-17.55296326,17.55296326,
222.0262451,192.7640686,-29.26217651,29.26217651,
214.8021545,196.0556335,-18.746521,18.746521,
208.8221283,199.1477509,-9.674377441,9.674377441,
