X,Y
303645.7122,3900689.435
303647.3688,3900688.706
303649.0325,3900687.972
303650.5369,3900687.313
303652.0254,3900686.659
303653.6293,3900685.939
303654.9308,3900685.361
303656.3594,3900684.724
303657.9281,3900684.024
303659.5024,3900683.326
303661.6386,3900682.373
303664.3388,3900681.134
303666.5315,3900680.107
303668.4957,3900679.231
303671.5547,3900677.902
303673.2235,3900677.159
303676.3877,3900675.73
303679.7116,3900674.243
303682.1236,3900673.179
303684.8158,3900671.983
303687.7983,3900670.659
303689.897,3900669.74
303692.1266,3900668.769
303693.7387,3900668.052
303695.7812,3900667.145
303698.1286,3900666.094
303701.1076,3900664.783
303702.9863,3900663.939
303704.8623,3900663.091
303707.0816,3900662.081
303709.0093,3900661.218
303711.2942,3900660.182
303713.4642,3900659.214
303716.3041,3900657.949
303718.3264,3900657.04
303720.0552,3900656.272
303722.5097,3900655.153
303724.5794,3900654.176
303726.579,3900653.256
303728.7318,3900652.259
303730.568,3900651.432
303732.3915,3900650.614
303734.8148,3900649.524
303736.9173,3900648.567
303739.3049,3900647.483
303741.0899,3900646.689
303743.0123,3900645.854
303744.9349,3900645.008
303746.5647,3900644.284
303748.8108,3900643.272
303751.2314,3900642.181
303753.5118,3900641.145
303755.8137,3900640.092
303757.8048,3900639.188
303760.7325,3900637.85
303762.7692,3900636.922
303764.7981,3900636
303766.6558,3900635.151
303768.6533,3900634.236
303770.4821,3900633.392
303772.916,3900632.267
303775.0826,3900631.265
303777.394,3900630.224
303779.6619,3900629.199
303781.8882,3900628.182
303784.5924,3900626.967
303786.8173,3900625.995
303788.5594,3900625.218
303790.9316,3900624.151
303794.5648,3900622.53
303798.0009,3900621.017
303801.1349,3900619.623
303803.5162,3900618.59
303805.5862,3900617.699
303808.4203,3900616.454
303810.5984,3900615.47
303813.0989,3900614.338
303815.1413,3900613.39
303817.4616,3900612.304
303819.9559,3900611.163
303821.9591,3900610.243
303824.2986,3900609.192
303826.5064,3900608.203
303828.3792,3900607.347
303830.553,3900606.365
303833.1972,3900605.128
303835.3699,3900604.116
303837.5328,3900603.126
303840.0022,3900601.965
303842.3463,3900600.867
303844.0912,3900600.076
303846.4688,3900599.016
303848.8304,3900597.992
303851.1587,3900596.963
303853.8013,3900595.79
303855.851,3900594.879
303858.54,3900593.695
303860.288,3900592.922
303862.1901,3900592.083
303864.0737,3900591.244
303866.0837,3900590.347
303869.033,3900589.022
303871.2197,3900588.041
303873.7108,3900586.953
303875.9233,3900585.919
303878.0676,3900584.648
303879.4407,3900583.511
303880.6877,3900581.978
303881.7382,3900579.507
303881.8614,3900576.913
303880.5441,3900573.259
303878.6129,3900570.489
303876.9005,3900567.594
303875.9532,3900564.927
303875.226,3900562.532
303874.2646,3900560.101
303873.398,3900558.285
303872.2987,3900556.017
303871.2155,3900553.579
303870.4895,3900551.805
303869.6459,3900549.886
303868.7277,3900547.834
303867.5397,3900545.192
303866.633,3900543.164
303865.8657,3900541.465
303864.8786,3900539.278
303863.7047,3900536.636
303862.6853,3900534.25
303861.9126,3900532.497
303860.8881,3900530.281
303859.9698,3900528.3
303858.9774,3900526.132
303858.134,3900524.267
303857.1433,3900522.091
303856.3172,3900520.237
303855.3375,3900518.089
303854.2218,3900515.653
303853.1723,3900513.378
303852.1553,3900511.127
303851.162,3900508.877
303850.503,3900507.401
303849.4162,3900504.966
303848.3622,3900502.598
303847.3722,3900500.434
303846.2626,3900498.025
303845.1978,3900495.701
303843.8777,3900492.815
303842.7886,3900490.441
303841.6669,3900487.907
303840.8154,3900485.92
303839.7855,3900483.632
303838.9284,3900481.704
303837.4876,3900478.543
303836.1425,3900475.553
303834.9618,3900472.825
303833.7064,3900469.969
303831.4685,3900465.041
303830.2433,3900462.341
303828.6402,3900458.844
303827.6043,3900456.525
303826.6001,3900454.341
303825.8633,3900452.786
303824.9755,3900450.846
303824.2868,3900449.314
303823.5433,3900447.627
303822.5709,3900445.453
303821.5965,3900443.294
303820.0069,3900439.829
303818.8387,3900437.254
303817.805,3900434.977
303816.7198,3900432.534
303815.799,3900430.362
303814.9936,3900428.538
303814.1386,3900426.668
303813.0788,3900424.306
303811.8022,3900421.442
303810.8389,3900419.192
303809.8803,3900416.906
303809.0246,3900414.926
303808.0755,3900412.833
303807.3551,3900411.209
303806.5558,3900409.342
303805.707,3900407.374
303804.8753,3900405.563
303803.7443,3900403.064
303802.7543,3900400.83
303801.8483,3900398.874
303800.8873,3900396.838
303799.9432,3900394.871
303798.9986,3900392.866
303798.1503,3900391.015
303797.2785,3900389.133
303796.0892,3900386.555
303794.9422,3900383.992
303794.0368,3900381.927
303793.1961,3900380.037
303792.2967,3900378.034
303791.4912,3900376.162
303790.5565,3900374.001
303789.4227,3900371.5
303788.4392,3900369.322
303787.38,3900366.91
303786.3082,3900364.503
303785.5757,3900362.918
303784.7137,3900361.075
303783.9366,3900359.42
303782.9342,3900357.254
303781.9331,3900355.08
303781.0156,3900353.108
303779.7928,3900350.455
303778.1939,3900347.059
303777.0888,3900344.626
303776.2321,3900342.689
303775.3365,3900340.661
303774.2679,3900338.341
303773.4183,3900336.514
303772.5145,3900334.531
